Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,3093
design__instance__area,57847.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,1
design__max_cap_violation__count__corner:nom_tt_025C_5v00,1
power__internal__total,0.00403440510854125
power__switching__total,0.0008395806653425097
power__leakage__total,3.025276384960307E-7
power__total,0.004874288570135832
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-0.25879046860183724
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.25958977369102204
timing__hold__ws__corner:nom_tt_025C_5v00,0.7358169837260173
timing__setup__ws__corner:nom_tt_025C_5v00,19.735335702031232
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.735817
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,19.735336
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,0
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,1
design__max_cap_violation__count__corner:nom_ss_125C_4v50,1
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-0.2605122580282727
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0.262763013229751
timing__hold__ws__corner:nom_ss_125C_4v50,1.5919037649773253
timing__setup__ws__corner:nom_ss_125C_4v50,4.113971502128464
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,1.591904
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,4.113972
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,1
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,1
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-0.25806554845740615
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.2581871178820408
timing__hold__ws__corner:nom_ff_n40C_5v50,0.3486273590713384
timing__setup__ws__corner:nom_ff_n40C_5v50,26.80640141291427
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.348627
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,26.806402
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.25752053995920376
clock__skew__worst_setup,0.25752053995920376
timing__hold__ws,0.3470234198222999
timing__setup__ws,3.9095625621239187
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.347023
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3.909563
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 255.765 273.685
design__core__bbox,6.72 15.68 248.64 254.8
design__io,23
design__die__area,69999
design__core__area,57847.9
design__instance__count__stdcell,1504
design__instance__area__stdcell,24206.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.41845
design__instance__utilization__stdcell,0.41845
design__rows,61
design__rows:GF018hv5v_mcu_sc7,61
design__sites,26352
design__sites:GF018hv5v_mcu_sc7,26352
design__instance__count__class:tie_cell,12
design__instance__area__class:tie_cell,105.37
design__instance__count__class:buffer,8
design__instance__area__class:buffer,105.37
design__instance__count__class:inverter,543
design__instance__area__class:inverter,5005.06
design__instance__count__class:sequential_cell,103
design__instance__area__class:sequential_cell,7718.32
design__instance__count__class:multi_input_combinational_cell,244
design__instance__area__class:multi_input_combinational_cell,4923.83
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,18
flow__warnings__count:ORD-2001,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,122
design__instance__area__class:endcap_cell,535.629
design__instance__count__class:tap_cell,378
design__instance__area__class:tap_cell,1659.57
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
floorplan__design__io,21
design__io__hpwl,2808002
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,163.52
design__instance__displacement__mean,0.1085
design__instance__displacement__max,6.16
route__wirelength__estimated,17225.4
design__violations,0
design__instance__count__class:timing_repair_buffer,62
design__instance__area__class:timing_repair_buffer,2023.97
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,18
design__instance__count__class:clock_buffer,32
design__instance__area__class:clock_buffer,2129.34
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,4705
global_route__wirelength,31852
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,996
route__net__special,2
route__drc_errors__iter:0,100
route__wirelength__iter:0,17840
route__drc_errors__iter:1,11
route__wirelength__iter:1,17634
route__drc_errors__iter:2,8
route__wirelength__iter:2,17596
route__drc_errors__iter:3,0
route__wirelength__iter:3,17586
route__drc_errors,0
route__wirelength,17586
route__vias,4169
route__vias__singlecut,4169
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,409.86
design__instance__count__class:fill_cell,1589
design__instance__area__class:fill_cell,33641.4
timing__unannotated_net__count__corner:nom_tt_025C_5v00,25
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,25
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
